URL,Name,Address,Number of Reviews,Hashtag,Phone,Pricing,Cuisine Type,Open Hours
https://www.tripadvisor.com//Restaurant_Review-g186338-d2390185-Reviews-Hawksmoor_Guildhall-London_England.html,Hawksmoor Guildhall,"10 Basinghall Street, London EC2V 5BQ England","1,204","#1,015",+44 20 7397 8120,$$$$,"[' Steakhouse', ' Seafood', ' British']",11:30 AM - 4:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d13149344-Reviews-Osteria_Romana-London_England.html,Osteria Romana,"3-4 Park Close Knightsbridge, London SW1X 7PQ England","1,195",#167,+44 20 7584 5819,$$ - $$$,"[' Italian', ' Romana', ' Vegetarian Friendly']",12:00 PM - 11:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d8766842-Reviews-Specialist_Cellars-London_England.html,Specialist Cellars,"Pop Brixton 49 Brixton Station Road, London SW9 8PQ England",70,"#1,019", See all hours,$$ - $$$,"[' Wine Bar', ' Vegetarian Friendly']",11:00 AM - 8:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d3963036-Reviews-Burger_Lobster_Bread_Street-London_England.html,Burger & Lobster Bread Street,"Bow Bells House 1 Bread Street, London EC4M 9BE England","1,318","#1,004",+44 20 7248 1789,$$ - $$$,"[' American', ' Seafood', ' Contemporary']",12:00 PM - 10:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d1633379-Reviews-Guinea_Grill-London_England.html,Guinea Grill,"30 Bruton Place Mayfair, London W1J 6NL England",823,"#1,000",+44 20 7409 1728,$$$$,"[' Steakhouse', ' British', ' Pub']",12:00 PM - 11:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d731399-Reviews-Benares_Restaurant_Bar-London_England.html,Benares Restaurant & Bar,"12a Berkeley Square First Floor, London W1J 6BS England","3,215","#1,016",+44 20 7629 8886,$$$$,"[' Indian', ' Contemporary', ' Street Food']",12:00 PM - 2:30 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d20139580-Reviews-Market_Halls_Oxford_Street-London_England.html,Market Halls Oxford Street,"9 Holles Street, London W1G 0BD England",42,"#5,821",+442045801290,$$ - $$$,"[' Mexican', ' Filipino', ' Sushi']",11:00 AM - 8:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d1021848-Reviews-Gaucho_Canary_Wharf-London_England.html,Gaucho Canary Wharf,"29 Westferry Circus, London E14 8RR England","1,209","#1,018",+44 20 7987 9494,$$$$,"[' Steakhouse', ' Argentinean', ' Gluten Free Options']",12:00 PM - 11:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d4471885-Reviews-Brazilian_Gourmet-London_England.html,Brazilian Gourmet,"70 Cleveland Street, London W1T 6LY England",340,"#1,021",0207 018 08790207 018 0879,$$ - $$$,"[' Brazilian', ' Latin', ' Vegetarian Friendly']",9:30 AM - 10:30 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d2013693-Reviews-Halal_Restaurant-London_England.html,Halal Restaurant,"2 St. Mark Street Aldgate, London E1 8DJ England",271,"#1,022",+44 20 7481 1700,$$ - $$$,"[' Indian', ' Asian', ' Vegetarian Friendly']",5:00 PM - 10:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d1023159-Reviews-Le_Beaujolais-London_England.html,Le Beaujolais,"25 Litchfield Street, London WC2H 9NJ England",286,"#1,024",+44 20 7836 2955,$$ - $$$,"[' French', ' European', ' Wine Bar']",12:00 PM - 11:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d25377687-Reviews-Cinquecento_Soho-London_England.html,Cinquecento Soho,"6 Greek Street, London W1D 4DE England",26,"#3,844",+44 20 7287 7705,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 10:30 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d13294491-Reviews-Kudu-London_England.html,Kudu,"119 Queens Road, London SE15 2EZ England",153,"#1,025",+44 20 3950 0226,$$ - $$$,"[' African', ' Vegetarian Friendly', ' Gluten Free Options']",11:00 AM - 2:30 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d1388951-Reviews-Cote_Kensington-London_England.html,Côte Kensington,"47 Kensington Court Kensington, London W8 5DA England","1,395","#1,018",+44 20 7938 4147,$$ - $$$,"[' French', ' European', ' Vegetarian Friendly']",9:00 AM - 10:00 PM
